"Version,""Task"",""Concept"",""Att 1 - Verpflegung"",""Att 2 - Kundenbewertung"",""Att 3 - Art des Hotels"",""Att 4 - Meerblick"",""Att 5 - Preis"",""Att 6 - Zimmerkategorie"""
2,12,1,1,2,1,3,1,2
2,12,2,2,1,2,1,2,3
2,13,1,3,3,3,1,2,2
2,13,2,1,2,2,2,1,1
2,14,1,1,2,3,1,2,1
2,14,2,2,1,1,3,3,3
2,15,1,2,3,2,3,1,2
2,15,2,3,1,1,2,3,3
2,16,1,3,2,1,1,3,1
2,16,2,1,3,3,2,1,3
2,17,1,2,1,2,3,2,2
2,17,2,3,3,1,1,1,3
2,18,1,2,2,3,3,3,2
2,18,2,1,1,2,2,2,1
2,19,1,3,2,2,2,1,3
2,19,2,1,3,1,3,3,1
2,20,1,3,2,2,3,1,1
2,20,2,2,1,3,1,2,2
2,21,1,1,1,3,1,3,3
2,21,2,2,3,1,2,2,2
3,1,1,3,3,3,3,2,3
3,1,2,1,1,2,1,3,2
3,2,1,2,2,1,2,1,1
3,2,2,3,3,2,1,3,2
3,3,1,1,2,1,2,2,1
3,3,2,2,1,3,3,1,3
3,4,1,2,2,2,1,2,3
3,4,2,3,1,3,2,1,2
3,5,1,3,2,3,1,2,2
3,5,2,1,3,1,3,3,1
3,6,1,1,3,1,3,1,3
3,6,2,2,1,2,2,3,1
3,7,1,3,1,1,3,2,1
3,7,2,2,2,3,2,3,2
3,8,1,1,3,2,1,1,3
3,8,2,3,1,1,2,3,2
3,9,1,2,3,3,1,2,1
3,9,2,1,2,2,3,1,3
3,10,1,1,3,3,2,2,3
3,10,2,2,1,1,1,1,1
3,11,1,3,2,2,3,3,2
3,11,2,1,1,1,1,2,3
3,12,1,3,2,2,2,1,2
3,12,2,2,3,3,3,3,1
3,13,1,1,1,3,3,1,2
3,13,2,2,2,1,1,3,3
3,14,1,3,3,2,2,2,1
3,14,2,2,2,1,1,1,2
3,15,1,1,1,2,2,3,1
3,15,2,3,3,3,3,2,3
3,16,1,3,1,3,1,1,1
3,16,2,1,3,1,2,3,2
3,17,1,3,3,1,1,3,1
3,17,2,2,2,2,3,2,3
3,18,1,2,1,2,2,1,3
3,18,2,1,2,3,3,2,2
3,19,1,2,3,2,1,1,2
3,19,2,1,2,3,2,3,3
3,20,1,3,1,1,3,2,1
3,20,2,2,3,3,2,1,2
3,21,1,3,2,1,1,2,3
3,21,2,1,1,2,3,3,1
4,1,1,2,2,3,3,3,1
4,1,2,1,3,2,1,2,2
4,2,1,1,2,3,1,2,1
4,2,2,3,1,1,2,1,3
4,3,1,3,3,1,3,1,2
4,3,2,2,1,2,2,3,3
4,4,1,3,3,3,1,3,3
4,4,2,1,1,1,2,2,2
4,5,1,3,1,3,1,3,2
4,5,2,2,2,2,3,1,1
4,6,1,1,2,2,3,1,3
4,6,2,2,3,1,2,2,1
4,7,1,2,1,2,3,2,2
4,7,2,3,2,3,2,1,1
4,8,1,1,3,1,1,3,3
4,8,2,3,2,2,2,2,1
4,9,1,2,3,1,1,3,3
4,9,2,1,1,3,3,1,2
4,10,1,1,3,2,1,1,1
4,10,2,3,2,1,3,3,2
4,11,1,2,1,3,2,2,3
4,11,2,3,3,2,3,3,2
4,12,1,1,1,3,2,2,3
4,12,2,2,2,1,1,1,1
4,13,1,3,1,2,1,1,3
4,13,2,1,2,1,2,3,2
4,14,1,2,3,3,3,2,1
4,14,2,1,1,2,1,3,2
4,15,1,3,3,3,2,1,3
4,15,2,2,2,1,3,2,1
4,16,1,3,2,2,1,2,3
4,16,2,1,1,1,3,1,1
4,17,1,3,1,1,3,2,3
4,17,2,2,3,3,2,3,2
4,18,1,2,2,3,1,1,2
4,18,2,1,3,2,2,3,1
4,19,1,3,1,3,1,3,1
4,19,2,1,2,1,2,2,2
4,20,1,1,2,3,1,3,1
4,20,2,2,3,2,3,1,3
4,21,1,2,1,2,3,3,3
4,21,2,3,3,1,2,1,2
5,1,1,2,3,2,1,2,2
5,1,2,1,2,3,3,1,3
5,2,1,2,2,3,3,3,3
5,2,2,3,1,1,2,2,1
5,3,1,3,3,1,2,1,1
5,3,2,1,1,2,1,2,2
5,4,1,2,1,1,1,1,2
5,4,2,1,3,3,3,2,1
5,5,1,2,1,3,1,1,1
5,5,2,3,2,2,2,3,3
5,6,1,3,3,2,3,2,2
5,6,2,1,2,1,2,3,3
5,7,1,1,3,1,1,2,3
5,7,2,3,1,3,3,3,2
5,8,1,2,2,2,2,1,1
5,8,2,3,3,3,1,2,3
5,9,1,1,2,2,2,1,2
5,9,2,2,1,1,3,3,1
5,10,1,3,2,2,1,3,1
5,10,2,1,1,3,2,1,3
5,11,1,2,3,1,3,2,2
5,11,2,1,1,2,1,3,1
5,12,1,2,2,3,2,2,2
5,12,2,3,3,1,3,1,3
5,13,1,3,2,1,1,2,2
5,13,2,2,3,2,2,3,3
5,14,1,2,2,1,1,3,3
5,14,2,1,1,3,3,1,1
5,15,1,1,3,2,2,2,1
5,15,2,3,1,3,3,1,2
5,16,1,1,3,3,3,3,2
5,16,2,2,1,2,2,2,3
5,17,1,3,2,1,1,1,1
5,17,2,2,3,3,2,3,2
5,18,1,1,1,1,1,1,1
5,18,2,3,2,2,3,2,3
5,19,1,3,3,2,3,3,1
5,19,2,1,2,3,1,2,3
5,20,1,2,1,1,2,1,2
5,20,2,3,2,3,3,2,1
5,21,1,1,3,2,1,1,2
5,21,2,2,1,1,2,3,3
6,1,1,1,2,1,3,3,2
6,1,2,3,3,3,2,1,3
6,2,1,1,3,1,3,1,3
6,2,2,2,1,2,1,2,1
6,3,1,3,1,2,1,3,2
6,3,2,2,2,3,2,2,1
6,4,1,2,3,3,1,3,1
6,4,2,1,1,2,3,2,2
6,5,1,3,2,1,2,1,3
6,5,2,2,3,2,3,3,1
6,6,1,1,2,3,2,1,2
6,6,2,3,1,1,1,2,3
6,7,1,1,3,1,2,2,1
6,7,2,2,2,2,3,1,3
6,8,1,3,1,3,1,3,2
6,8,2,1,3,2,2,1,1
6,9,1,3,1,3,3,3,3
6,9,2,2,2,1,1,2,2
6,10,1,2,3,3,1,1,3
6,10,2,3,2,2,2,3,1
6,11,1,3,3,2,1,1,1
6,11,2,1,1,1,3,2,2
6,12,1,1,1,1,2,3,3
6,12,2,2,2,3,3,2,2
6,13,1,1,2,3,1,3,3
6,13,2,2,1,1,3,1,1
6,14,1,3,3,2,2,2,2
6,14,2,1,2,1,3,3,1
6,15,1,3,3,3,2,1,2
6,15,2,2,1,2,1,2,3
6,16,1,2,3,1,1,3,2
6,16,2,3,1,3,2,2,1
6,17,1,2,1,3,2,3,1
6,17,2,1,2,2,3,1,3
6,18,1,1,3,1,3,2,3
6,18,2,3,2,2,1,1,2
6,19,1,2,1,2,3,1,2
6,19,2,1,3,3,1,2,1
6,20,1,3,2,1,2,3,3
6,20,2,2,3,3,3,1,1
6,21,1,1,1,2,2,2,3
6,21,2,3,2,1,1,3,2
7,1,1,3,1,1,3,1,1
7,1,2,1,3,2,2,3,2
7,2,1,2,2,3,1,2,3
7,2,2,3,1,2,3,3,1
7,3,1,2,2,1,2,1,2
7,3,2,1,3,3,1,2,3
7,4,1,1,1,3,1,1,2
7,4,2,2,3,1,3,3,3
7,5,1,3,2,2,2,2,1
7,5,2,2,1,1,1,1,3
7,6,1,1,3,2,2,3,1
7,6,2,3,2,3,3,2,2
7,7,1,3,1,3,2,3,3
7,7,2,1,2,1,1,1,1
7,8,1,1,2,3,1,3,1
7,8,2,2,3,2,3,2,2
7,9,1,3,3,2,3,1,3
7,9,2,2,1,1,2,2,2
7,10,1,3,3,1,1,2,1
7,10,2,1,2,3,3,3,2
7,11,1,3,3,1,1,3,2
7,11,2,2,1,2,2,1,3
7,12,1,1,1,2,3,2,3
7,12,2,2,2,3,2,1,1
7,13,1,1,3,3,2,1,2
7,13,2,2,2,2,1,3,3
7,14,1,3,1,1,3,2,1
7,14,2,1,2,2,1,1,2
7,15,1,3,1,1,2,2,3
7,15,2,2,3,3,3,3,1
7,16,1,3,2,3,3,1,3
7,16,2,2,1,2,1,3,2
7,17,1,3,1,3,1,1,2
7,17,2,1,3,1,2,2,1
7,18,1,2,2,2,2,2,1
7,18,2,1,3,1,3,3,3
7,19,1,3,3,2,1,2,3
7,19,2,1,1,3,2,3,2
7,20,1,3,3,3,2,3,3
7,20,2,2,2,1,3,1,1
7,21,1,1,1,2,1,1,1
7,21,2,2,2,1,3,2,2
8,1,1,2,3,1,1,1,3
8,1,2,3,2,2,3,3,2
8,2,1,3,3,1,3,1,2
8,2,2,1,1,3,2,2,1
8,3,1,1,2,3,1,2,3
8,3,2,2,1,2,2,3,1
8,4,1,1,2,1,2,3,2
8,4,2,2,3,3,1,2,1
8,5,1,2,3,1,2,2,2
8,5,2,3,1,2,3,1,3
8,6,1,1,1,3,3,3,3
8,6,2,3,2,2,1,1,1
8,7,1,3,1,1,1,3,1
8,7,2,2,3,3,2,1,3
8,8,1,2,1,1,1,3,3
8,8,2,1,2,2,3,2,2
8,9,1,1,3,2,2,1,2
8,9,2,3,2,3,3,2,1
8,10,1,2,3,2,3,3,1
8,10,2,1,2,1,2,1,3
8,11,1,1,3,1,3,1,1
8,11,2,3,1,3,1,2,2
8,12,1,3,2,2,2,2,3
8,12,2,2,1,3,1,3,2
8,13,1,3,1,3,2,1,1
8,13,2,1,3,2,1,2,3
8,14,1,2,2,1,3,3,2
8,14,2,1,1,2,1,1,1
8,15,1,2,2,3,2,3,3
8,15,2,3,3,1,3,2,2
8,16,1,1,2,1,1,3,1
8,16,2,2,1,2,3,2,2
8,17,1,1,1,1,3,2,1
8,17,2,3,3,3,2,1,3
8,18,1,3,3,2,1,3,2
8,18,2,2,2,3,3,1,3
8,19,1,2,1,1,2,1,2
8,19,2,3,2,3,1,2,1
8,20,1,3,1,3,3,1,2
8,20,2,1,3,2,2,3,3
8,21,1,2,2,2,2,2,1
8,21,2,1,3,1,1,3,3
9,1,1,3,1,1,2,2,3
9,1,2,2,3,3,3,3,1
9,2,1,3,3,1,2,3,1
9,2,2,1,2,2,1,1,2
9,3,1,1,1,3,3,2,3
9,3,2,2,2,2,1,1,2
9,4,1,2,3,3,1,2,2
9,4,2,3,2,2,3,3,3
9,5,1,2,3,2,1,2,3
9,5,2,1,1,1,2,1,1
9,6,1,3,1,1,3,1,1
9,6,2,1,2,3,2,3,2
9,7,1,1,1,2,3,3,3
9,7,2,3,2,1,2,2,2
9,8,1,2,3,3,1,1,1
9,8,2,3,1,2,2,3,2
9,9,1,2,2,1,1,1,3
9,9,2,1,3,3,3,2,1
9,10,1,3,2,1,1,3,1
9,10,2,1,3,3,3,1,2
9,11,1,3,3,1,1,1,2
9,11,2,2,1,2,2,2,3
9,12,1,2,1,2,3,3,1
9,12,2,1,2,3,2,2,3
9,13,1,3,3,2,2,1,1
9,13,2,1,1,1,1,2,2
9,14,1,1,1,2,1,1,1
9,14,2,2,2,3,3,3,3
9,15,1,2,3,1,2,3,2
9,15,2,3,2,3,3,2,3
9,16,1,2,2,1,2,2,1
9,16,2,3,1,3,1,3,3
9,17,1,2,1,1,1,2,3
9,17,2,1,3,2,3,1,2
9,18,1,1,2,3,2,3,1
9,18,2,3,3,2,3,2,2
9,19,1,2,1,3,2,1,2
9,19,2,1,3,1,3,3,3
9,20,1,1,1,3,2,2,2
9,20,2,3,2,2,1,1,1
9,21,1,2,2,1,3,1,3
9,21,2,3,3,2,1,3,1
10,1,1,3,3,3,2,1,3
10,1,2,1,2,2,1,2,2
10,2,1,2,1,1,3,3,1
10,2,2,3,2,2,2,1,3
10,3,1,1,1,1,3,3,2
10,3,2,2,3,3,1,2,1
10,4,1,2,2,2,2,3,2
10,4,2,1,3,1,1,1,3
10,5,1,3,1,3,3,2,1
10,5,2,2,3,1,2,1,2
10,6,1,3,1,3,1,3,3
10,6,2,1,2,2,3,2,1
10,7,1,2,1,2,3,1,3
10,7,2,3,3,1,2,2,1
10,8,1,2,3,2,3,2,3
10,8,2,1,2,3,1,3,2
10,9,1,1,1,3,2,1,1
10,9,2,3,2,1,1,3,2
10,10,1,1,1,1,1,2,3
10,10,2,3,2,3,3,1,2
10,11,1,2,3,2,2,3,1
10,11,2,1,2,1,3,1,3
10,12,1,3,1,2,2,2,2
10,12,2,2,3,3,1,3,1
10,13,1,1,2,1,2,3,1
10,13,2,2,1,3,1,1,2
10,14,1,2,2,1,1,1,1
10,14,2,3,3,2,3,2,3
10,15,1,1,1,2,2,2,3
10,15,2,3,3,3,3,3,2
10,16,1,2,2,3,3,2,1
10,16,2,3,1,2,1,3,3
10,17,1,1,3,1,2,1,2
10,17,2,2,1,2,3,3,1
10,18,1,3,2,1,2,1,3
10,18,2,1,3,3,1,2,2
10,19,1,2,1,1,1,2,2
10,19,2,1,3,3,3,1,1
10,20,1,3,2,2,2,3,3
10,20,2,1,1,1,3,1,1
10,21,1,3,2,2,1,2,2
10,21,2,2,3,3,2,3,3
11,1,1,1,3,2,1,1,3
11,1,2,3,1,1,3,3,2
11,2,1,2,2,3,2,2,1
11,2,2,1,1,2,3,3,2
11,3,1,2,2,3,2,1,3
11,3,2,3,3,1,1,2,1
11,4,1,2,3,1,3,2,3
11,4,2,3,1,3,1,1,1
11,5,1,2,1,3,1,1,3
11,5,2,1,2,2,2,3,2
11,6,1,3,3,1,2,3,1
11,6,2,1,2,2,3,2,2
11,7,1,2,3,2,2,1,2
11,7,2,1,2,1,1,3,3
11,8,1,2,3,2,1,3,3
11,8,2,3,1,3,3,2,1
11,9,1,1,1,1,2,2,1
11,9,2,3,2,3,3,1,2
11,10,1,2,1,1,2,2,2
11,10,2,1,2,2,1,1,1
11,11,1,2,1,2,2,1,1
11,11,2,3,3,3,3,3,3
11,12,1,1,3,3,1,2,3
11,12,2,3,2,1,3,3,2
11,13,1,1,1,3,2,3,3
11,13,2,2,2,2,1,2,1
11,14,1,3,3,1,3,1,2
11,14,2,1,2,3,2,3,1
11,15,1,3,1,1,1,1,3
11,15,2,2,3,2,3,2,2
11,16,1,2,2,1,3,2,3
11,16,2,3,3,2,2,1,1
11,17,1,3,2,1,2,2,3
11,17,2,1,1,3,1,3,2
11,18,1,1,1,2,3,1,1
11,18,2,2,3,3,1,3,2
11,19,1,3,1,3,2,2,2
11,19,2,1,3,1,3,3,1
11,20,1,1,3,1,2,2,2
11,20,2,2,2,2,1,1,3
11,21,1,3,1,2,1,3,1
11,21,2,2,2,3,3,1,3
12,1,1,2,1,1,2,1,2
12,1,2,3,2,3,1,2,1
12,2,1,1,3,2,3,3,3
12,2,2,2,2,1,1,2,1
12,3,1,3,3,3,2,1,3
12,3,2,2,1,2,3,3,2
12,4,1,3,1,2,2,2,3
12,4,2,1,2,3,3,1,2
12,5,1,1,3,1,1,3,1
12,5,2,2,1,3,3,2,3
12,6,1,1,2,1,2,3,1
12,6,2,3,3,2,1,1,2
12,7,1,2,3,3,2,3,2
12,7,2,1,1,1,1,1,3
12,8,1,2,1,1,1,3,3
12,8,2,3,2,2,3,2,1
12,9,1,3,2,3,3,1,1
12,9,2,1,3,2,2,2,2
12,10,1,1,2,3,1,2,2
12,10,2,2,3,1,3,1,1
12,11,1,3,1,2,2,3,3
12,11,2,1,3,3,1,2,1
12,12,1,3,2,1,3,3,3
12,12,2,2,1,2,2,1,2
12,13,1,3,3,1,1,2,2
12,13,2,2,2,3,2,3,1
12,14,1,1,1,2,3,1,3
12,14,2,2,2,1,1,3,2
12,15,1,1,3,3,2,2,3
12,15,2,3,1,2,3,1,1
12,16,1,1,1,3,3,3,2
12,16,2,2,3,2,1,2,3
12,17,1,3,2,1,2,1,1
12,17,2,2,1,3,3,2,2
12,18,1,1,2,2,1,1,3
12,18,2,3,3,1,2,3,1
12,19,1,1,2,1,3,2,3
12,19,2,3,1,3,1,3,1
12,20,1,3,1,1,1,2,3
12,20,2,2,3,2,2,1,2
12,21,1,2,3,2,3,3,1
12,21,2,1,2,3,2,1,2
13,1,1,1,1,1,2,2,1
13,1,2,3,2,2,1,3,2
13,2,1,1,1,2,1,3,1
13,2,2,2,3,3,3,1,3
13,3,1,2,2,3,2,2,3
13,3,2,3,3,1,3,1,2
13,4,1,2,1,1,1,1,2
13,4,2,3,3,3,2,3,3
13,5,1,3,1,3,1,1,2
13,5,2,1,2,2,3,2,1
13,6,1,1,3,2,2,2,1
13,6,2,2,2,1,3,3,3
13,7,1,3,2,2,2,2,2
13,7,2,2,3,3,1,1,1
13,8,1,2,2,2,1,1,1
13,8,2,1,1,1,3,3,3
13,9,1,1,1,3,2,3,3
13,9,2,3,3,1,3,2,2
13,10,1,2,1,3,3,2,1
13,10,2,1,3,1,1,1,3
13,11,1,3,2,2,2,3,2
13,11,2,1,3,3,3,1,1
13,12,1,2,1,1,2,2,2
13,12,2,3,2,2,1,3,3
13,13,1,3,3,3,1,2,3
13,13,2,2,2,1,2,1,1
13,14,1,3,2,3,2,1,3
13,14,2,1,1,2,3,3,2
13,15,1,1,1,1,1,2,2
13,15,2,2,3,2,3,3,1
13,16,1,3,1,1,2,1,1
13,16,2,1,2,3,1,3,2
13,17,1,3,1,3,2,3,1
13,17,2,2,3,2,3,2,3
13,18,1,2,3,2,1,2,3
13,18,2,1,2,1,3,1,2
13,19,1,1,1,2,2,1,3
13,19,2,3,2,3,3,2,2
13,20,1,3,1,2,3,1,3
13,20,2,2,3,1,1,3,1
13,21,1,2,3,1,2,3,2
13,21,2,1,2,3,1,2,1
14,1,1,2,2,1,3,3,3
14,1,2,1,3,3,2,1,2
14,2,1,3,1,2,1,2,1
14,2,2,1,3,1,2,3,3
14,3,1,2,1,3,1,1,2
14,3,2,3,2,2,3,2,1
14,4,1,2,2,2,2,2,2
14,4,2,3,3,3,3,3,1
14,5,1,2,2,3,2,3,1
14,5,2,1,1,1,1,1,3
14,6,1,1,1,2,3,1,3
14,6,2,3,3,1,1,2,2
14,7,1,1,2,2,1,3,2
14,7,2,2,1,1,2,2,1
14,8,1,2,1,2,2,3,2
14,8,2,3,3,3,3,1,3
14,9,1,1,2,1,3,1,1
14,9,2,3,3,3,1,2,3
14,10,1,2,1,3,3,3,2
14,10,2,1,3,2,2,2,1
14,11,1,1,3,3,3,2,2
14,11,2,3,2,1,1,1,3
14,12,1,2,2,2,1,1,1
14,12,2,3,1,1,2,3,3
14,13,1,2,2,1,3,2,3
14,13,2,3,3,2,2,1,2
14,14,1,1,1,3,1,3,1
14,14,2,3,3,1,3,1,2
14,15,1,2,1,2,1,3,1
14,15,2,1,2,3,2,2,3
14,16,1,3,1,1,3,2,1
14,16,2,1,3,2,1,3,3
14,17,1,2,2,3,2,1,2
14,17,2,1,3,1,3,3,1
14,18,1,2,1,3,2,2,3
14,18,2,3,2,2,1,1,2
14,19,1,3,2,3,3,3,3
14,19,2,1,3,2,2,1,1
14,20,1,2,1,1,1,2,2
14,20,2,3,3,2,2,3,3
14,21,1,1,2,1,1,2,2
14,21,2,2,1,3,3,1,1
15,1,1,1,1,2,3,2,2
15,1,2,3,3,3,1,1,1
15,2,1,3,1,2,3,2,1
15,2,2,2,2,1,2,3,3
15,3,1,2,3,3,1,3,2
15,3,2,1,2,1,2,1,3
15,4,1,3,2,3,3,3,2
15,4,2,2,3,2,1,2,3
15,5,1,1,1,1,2,1,1
15,5,2,2,2,2,3,3,2
15,6,1,3,3,1,2,2,1
15,6,2,1,1,3,1,1,3
15,7,1,2,3,1,3,1,2
15,7,2,1,2,3,2,2,1
15,8,1,3,1,2,1,3,3
15,8,2,2,2,1,3,1,1
15,9,1,3,1,3,2,2,2
15,9,2,1,3,2,1,3,3
15,10,1,2,1,2,2,1,3
15,10,2,3,2,1,1,3,1
15,11,1,2,2,2,1,1,1
15,11,2,1,3,3,3,2,2
15,12,1,3,1,1,2,3,2
15,12,2,1,3,3,3,2,3
15,13,1,1,2,2,2,1,2
15,13,2,2,1,1,3,2,3
15,14,1,1,2,2,3,2,3
15,14,2,3,3,3,1,3,1
15,15,1,3,1,3,1,1,2
15,15,2,2,3,1,2,3,1
15,16,1,1,1,3,3,3,1
15,16,2,3,2,1,1,2,3
15,17,1,2,3,2,2,1,2
15,17,2,1,1,1,1,2,1
15,18,1,2,2,3,2,3,3
15,18,2,3,3,2,3,1,2
15,19,1,3,2,2,2,2,1
15,19,2,1,3,1,1,3,2
15,20,1,1,2,2,1,3,2
15,20,2,2,1,3,3,1,3
15,21,1,2,1,3,3,2,1
15,21,2,3,3,1,2,1,3
16,1,1,2,3,3,1,1,1
16,1,2,3,1,1,3,3,2
16,2,1,3,3,1,3,1,1
16,2,2,1,2,2,2,2,3
16,3,1,2,2,3,1,2,2
16,3,2,1,1,2,2,3,3
16,4,1,3,2,2,3,3,1
16,4,2,2,3,1,1,2,3
16,5,1,2,2,1,3,3,3
16,5,2,1,1,3,2,1,2
16,6,1,3,3,2,2,2,2
16,6,2,1,1,3,1,1,1
16,7,1,3,2,3,1,1,3
16,7,2,2,3,2,2,2,1
16,8,1,1,1,1,3,3,2
16,8,2,3,3,3,2,2,3
16,9,1,2,1,1,1,3,2
16,9,2,1,2,2,3,1,1
16,10,1,3,1,2,1,2,3
16,10,2,1,3,3,2,3,1
16,11,1,2,2,1,3,1,2
16,11,2,3,1,3,2,3,1
16,12,1,1,3,2,3,1,3
16,12,2,2,2,1,1,2,2
16,13,1,2,3,2,1,3,1
16,13,2,3,1,1,2,1,3
16,14,1,2,1,2,1,1,1
16,14,2,1,2,3,3,2,2
16,15,1,1,3,1,2,2,2
16,15,2,3,2,3,3,3,3
16,16,1,1,2,1,1,1,1
16,16,2,3,1,2,3,2,2
16,17,1,2,3,3,2,3,3
16,17,2,3,2,1,1,2,1
16,18,1,2,1,2,3,3,3
16,18,2,1,3,3,2,1,2
16,19,1,1,3,1,1,2,3
16,19,2,3,2,2,2,3,2
16,20,1,1,3,2,1,3,2
16,20,2,2,1,3,3,1,1
16,21,1,2,2,3,2,2,1
16,21,2,3,1,1,3,1,3
17,1,1,3,2,3,1,1,2
17,1,2,1,3,1,3,3,1
17,2,1,2,1,2,2,2,3
17,2,2,3,3,3,3,3,1
17,3,1,2,1,2,1,2,2
17,3,2,1,2,1,2,1,3
17,4,1,3,1,1,2,2,1
17,4,2,1,2,3,1,3,3
17,5,1,1,1,3,1,2,3
17,5,2,2,3,2,3,1,2
17,6,1,2,2,1,2,3,2
17,6,2,3,3,2,3,1,1
17,7,1,2,3,3,1,1,3
17,7,2,1,2,2,3,2,1
17,8,1,3,1,1,2,3,2
17,8,2,2,3,3,3,2,3
17,9,1,3,2,1,1,3,2
17,9,2,1,1,2,2,1,1
17,10,1,1,1,3,3,3,2
17,10,2,3,2,2,1,1,3
17,11,1,1,2,2,3,3,3
17,11,2,2,3,1,2,2,1
17,12,1,2,1,1,2,1,1
17,12,2,3,3,3,1,2,2
17,13,1,2,2,3,2,3,1
17,13,2,1,3,1,3,2,2
17,14,1,3,1,2,1,1,3
17,14,2,2,2,3,3,2,2
17,15,1,1,3,1,1,3,1
17,15,2,3,1,2,2,1,3
17,16,1,1,2,3,2,1,2
17,16,2,2,3,1,3,3,3
17,17,1,1,2,1,3,1,3
17,17,2,3,1,2,1,2,1
17,18,1,2,1,2,1,3,2
17,18,2,3,3,3,2,2,1
17,19,1,2,3,2,1,1,2
17,19,2,1,1,3,2,3,3
17,20,1,1,3,2,2,1,2
17,20,2,3,2,1,3,2,1
17,21,1,3,1,1,3,2,3
17,21,2,2,2,3,1,3,1
18,1,1,3,1,3,3,1,2
18,1,2,2,2,2,2,2,3
18,2,1,3,2,3,2,1,2
18,2,2,1,3,1,1,3,1
18,3,1,1,1,2,3,2,1
18,3,2,2,3,1,1,1,3
18,4,1,1,1,1,1,2,2
18,4,2,3,3,2,3,3,3
18,5,1,1,1,3,1,2,3
18,5,2,2,2,2,2,3,1
18,6,1,3,3,1,2,3,2
18,6,2,2,2,3,3,1,1
18,7,1,2,1,2,3,3,2
18,7,2,3,2,1,1,1,1
18,8,1,2,1,1,1,1,2
18,8,2,1,3,3,2,2,3
18,9,1,1,2,2,2,2,1
18,9,2,3,3,3,3,3,3
18,10,1,2,3,2,3,2,2
18,10,2,1,1,3,1,3,1
18,11,1,3,2,1,2,1,3
18,11,2,2,3,3,1,2,2
18,12,1,3,2,2,2,3,3
18,12,2,1,1,1,3,1,1
18,13,1,3,3,2,1,1,1
18,13,2,2,1,1,2,2,3
18,14,1,2,3,1,2,1,3
18,14,2,1,2,3,3,3,2
18,15,1,1,2,2,1,2,2
18,15,2,3,1,3,3,3,1
18,16,1,2,2,1,1,3,3
18,16,2,3,1,3,2,1,2
18,17,1,1,3,2,3,2,1
18,17,2,2,1,3,1,3,3
18,18,1,1,3,2,2,1,1
18,18,2,3,2,1,3,2,2
18,19,1,1,1,1,2,3,2
18,19,2,2,2,3,3,1,3
18,20,1,1,2,1,3,1,3
18,20,2,3,3,2,1,2,1
18,21,1,2,1,3,2,2,1
18,21,2,3,3,2,1,3,2
19,1,1,1,3,3,1,1,3
19,1,2,2,2,2,3,3,1
19,2,1,3,1,1,2,2,2
19,2,2,1,2,2,1,3,3
19,3,1,3,1,3,2,2,1
19,3,2,2,3,1,3,1,2
19,4,1,2,1,2,3,2,3
19,4,2,3,2,3,1,1,2
19,5,1,3,2,3,1,2,3
